"s","t","mu_weighted","mu_unweighted","simultaneous_lower","simultaneous_upper","simultaneous_excludes_zero"
61.75,64.75,0.0101990340068714,0.0191622048265781,-0.0155570957046495,0.0359551637183923,0
62,64.75,0.00996065994481717,0.0184931312293338,-0.0153421636407709,0.0352634835304052,0
52,65,-0.0103972593532189,-0.0368279929928294,-0.0375878409830573,0.0167933222766195,0
52.25,65,-0.0105171279651233,-0.0371876109497034,-0.0379121773626169,0.0168779214323704,0
52.5,65,-0.010629940363779,-0.0375280415902392,-0.0382168317345953,0.0169569510070373,0
52.75,65,-0.0107302775865716,-0.0378344141624542,-0.0384853605946208,0.0170248054214776,0
53,65,-0.0108127206708866,-0.0380918579143653,-0.0387012490490716,0.0170758077072984,0
53.25,65,-0.0107642447416631,-0.0380227787503585,-0.0384673413366176,0.0169388518532914,0
53.5,65,-0.010681979920156,-0.0378609398710594,-0.0381341917851518,0.0167702319448399,0
53.75,65,-0.010555695856345,-0.0375782893686149,-0.037668367977602,0.016556976264912,0
54,65,-0.0103752841513101,-0.0371471012116259,-0.0370366781505707,0.0162861098479506,0
54.25,65,-0.00986753548173787,-0.0358349512246242,-0.0353482621623398,0.015613191198864,0
54.5,65,-0.00928734547959367,-0.0343239349725264,-0.0334370573627289,0.0148623664035416,0
54.75,65,-0.00862537970709976,-0.0325885288817067,-0.0312724572116079,0.0140216977974084,0
55,65,-0.0078739922325092,-0.0306078237359186,-0.0288286034073779,0.0130806189423595,0
55.25,65,-0.00702325498026714,-0.0283558558188986,-0.0260738088016491,0.0120272988411148,0
55.5,65,-0.00607348729383878,-0.0258322557839551,-0.0230057328134769,0.0108587582257993,0
55.75,65,-0.00502693319132457,-0.0230428742675133,-0.0196329900171074,0.00957912363445828,0
56,65,-0.0038934430678172,-0.020014318494695,-0.0159960865923735,0.0082092004567391,0
56.25,65,-0.00268853036219813,-0.0167888884485537,-0.0121721181058471,0.00679505738145084,0
56.5,65,-0.00142911918882199,-0.0134128191288157,-0.00829337661651737,0.0054351382388734,0
56.75,65,-0.000133117824693703,-0.00993509932184525,-0.00468755747184722,0.00442132182245981,0
57,65,0.00117933734778081,-0.00641068914814593,-0.00238377239855164,0.00474244709411327,0
57.25,65,0.00248550314547612,-0.00290144331935945,-0.00238528286039139,0.00735628915134363,0
57.5,65,0.00376299888286431,0.000531774760795661,-0.00353524121273445,0.0110612389784631,0
57.75,65,0.00499087163742939,0.00383199831527534,-0.004983805580515,0.0149655488553738,0
58,65,0.00614919980279405,0.00694516899334867,-0.00647845940323594,0.018776859008824,0
58.25,65,0.00721852632992846,0.00981862080370805,-0.00792168886555947,0.0223587415254164,0
58.5,65,0.0081805451326181,0.0124027893926078,-0.00925924883259518,0.0256203390978314,0
58.75,65,0.00902303610605193,0.0146649342857886,-0.010461177579449,0.0285072497915528,0
59,65,0.00974214919713041,0.0165951056449056,-0.0115157198613544,0.0310000182556152,0
59.25,65,0.0103400120153925,0.018199378283182,-0.0124214568295055,0.0331014808602905,0
59.5,65,0.0108246618756548,0.0194996781719146,-0.0131877313850527,0.0348370551363623,0
59.75,65,0.0112059389308509,0.0205226259553597,-0.0138269323324067,0.0362388101941084,0
60,65,0.0114955109686647,0.0212996492778761,-0.0143544369718687,0.037345458909198,0
60.25,65,0.0116196691408895,0.0216376750565714,-0.0146649402300269,0.0379042785118059,0
60.5,65,0.0116744154409765,0.021789704799327,-0.0148933693691534,0.0382422002511065,0
60.75,65,0.0116722077334803,0.0217892030791673,-0.0150569536184921,0.0384013690854526,0
61,65,0.0116255684879888,0.0216698072774266,-0.0151727900390268,0.0384239270150043,0
61.25,65,0.0114167029134472,0.0211114903193516,-0.0150408582931113,0.0378742641200056,0
61.5,65,0.0111839995220779,0.0204893417357972,-0.0148811114969207,0.0372491105410765,0
61.75,65,0.0109351254811355,0.0198239024442533,-0.0147030780166543,0.0365733289789253,0
